ASIN,URL,Title,Image URL 1,Image URL 2,Date First Available,Manufacturer,Item model number,Department,Packer,Product Description,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8,Country of Origin,Net Quantity,Included Components,Generic Name
B0DWFLLY6T,https://www.amazon.in/dp/B0DWFLLY6T,Gaonwali Clothings Flared Gold Printed Kurta & Dupatta,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/518hiBk1NeL._SX2000_.jpg,7 February 2025,"Gaowali Clothings, Gaowali Clothings",GCWK01-MAROON-S,Women,Gaowali Clothings,"Elevate your ethnic wardrobe with this beautifully designed women's kurta, crafted for elegance and comfort.",,,,,,,,,,
B09SLY1ZYY,https://www.amazon.in/dp/B09SLY1ZYY,Gaonwali Clothings Women's Cotton Sleev Less Floral Print Manderian Button NeckLong Slit Jacket Kurta SetWith Matching Pant Calf Length L | SET-GC-212-L Blue,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/41SkQxGjjbL._SX2000_.jpg,16 February 2022,,,,,,https://m.media-amazon.com/images/I/41qK6wzsIGL._SX2000_.jpg,https://m.media-amazon.com/images/I/41-E1t4RUAL._SX2000_.jpg,https://m.media-amazon.com/images/I/41dBunxu5uL._SX2000_.jpg,https://m.media-amazon.com/images/I/41dfMEfEQ4L._SX2000_.jpg,https://m.media-amazon.com/images/I/41JAHEQxLML._SX2000_.jpg,https://m.media-amazon.com/images/I/51bUUquXi7L._SX2000_.jpg,India,1.00 Count,Pants,
B09SLY3Z29,https://www.amazon.in/dp/B09SLY3Z29,Gaonwali Clothings Women's Cotton Sleev Less Floral Print Manderian Button NeckLong Slit Jacket Kurta SetWith Matching Pant Calf Length XS | SET-GC-212-XS Blue,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/41SkQxGjjbL._SX2000_.jpg,16 February 2022,,,,,,https://m.media-amazon.com/images/I/41qK6wzsIGL._SX2000_.jpg,https://m.media-amazon.com/images/I/41-E1t4RUAL._SX2000_.jpg,https://m.media-amazon.com/images/I/41dBunxu5uL._SX2000_.jpg,https://m.media-amazon.com/images/I/41dfMEfEQ4L._SX2000_.jpg,https://m.media-amazon.com/images/I/41JAHEQxLML._SX2000_.jpg,https://m.media-amazon.com/images/I/51bUUquXi7L._SX2000_.jpg,India,1.00 Count,Pants,
B09SLYM8QL,https://www.amazon.in/dp/B09SLYM8QL,Gaonwali Clothings Women's Cotton Sleev Less Floral Print Manderian Button NeckLong Slit Jacket Kurta SetWith Matching Pant Calf Length XXL | SET-GC-212-XXL Blue,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/41SkQxGjjbL._SX2000_.jpg,16 February 2022,,,,,,https://m.media-amazon.com/images/I/41qK6wzsIGL._SX2000_.jpg,https://m.media-amazon.com/images/I/41-E1t4RUAL._SX2000_.jpg,https://m.media-amazon.com/images/I/41dBunxu5uL._SX2000_.jpg,https://m.media-amazon.com/images/I/41dfMEfEQ4L._SX2000_.jpg,https://m.media-amazon.com/images/I/41JAHEQxLML._SX2000_.jpg,https://m.media-amazon.com/images/I/51bUUquXi7L._SX2000_.jpg,India,1.00 Count,Pants,
B09SLXSWZB,https://www.amazon.in/dp/B09SLXSWZB,Gaonwali Clothings Women's Cotton Bell Sleevs Lehariya Printed V Neck A line Kurta with Gota Work Calf Length | A-LINE-GC-229,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/414TouiozZL._SX2000_.jpg,16 February 2022,"Gaonwali Clothings, Gaonwali Clothings",A-LINE-GC-229-L,Women,Gaonwali Clothings,"This is Designd as per the latest trends to keep you in sync with high fashion and with wedding and other occasion, it will keep you comfortable all day long. The lovely design forms a substantial feature of this wear.It looks stunning every time you match it with accessories.This attractive kurti will surely fetch you compliments for your rich sense of style.Stow away your old stuff when you wear this kurti. Light in weight Daily Wear, Working Wear kurtis will be soft against your skin. Its Simple and unique design and beautiful colours, prints and patterns. Stitched in regular fit, this kurti for women will keep you comfortable all day long. Front Design Looks perfect in this Kurtis. It can be perfect for get together, evening Functions,occasion and party wear as well.",https://m.media-amazon.com/images/I/415Cv6yFPxL._SX2000_.jpg,https://m.media-amazon.com/images/I/41oNRvntGwL._SX2000_.jpg,https://m.media-amazon.com/images/I/41SIncB4kQL._SX2000_.jpg,https://m.media-amazon.com/images/I/41I2gNdOe1L._SX2000_.jpg,,,,1.00 Count,Kurti,kurti
B09SLYSZSV,https://www.amazon.in/dp/B09SLYSZSV,Gaonwali Clothings Women's Cotton Bell Sleevs Lehariya Printed V Neck A line Kurta with Gota Work Calf Length | A-LINE-GC-229,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/414TouiozZL._SX2000_.jpg,16 February 2022,"Gaonwali Clothings, Gaonwali Clothings",A-LINE-GC-229-M,Women,Gaonwali Clothings,"This is Designd as per the latest trends to keep you in sync with high fashion and with wedding and other occasion, it will keep you comfortable all day long. The lovely design forms a substantial feature of this wear.It looks stunning every time you match it with accessories.This attractive kurti will surely fetch you compliments for your rich sense of style.Stow away your old stuff when you wear this kurti. Light in weight Daily Wear, Working Wear kurtis will be soft against your skin. Its Simple and unique design and beautiful colours, prints and patterns. Stitched in regular fit, this kurti for women will keep you comfortable all day long. Front Design Looks perfect in this Kurtis. It can be perfect for get together, evening Functions,occasion and party wear as well.",https://m.media-amazon.com/images/I/415Cv6yFPxL._SX2000_.jpg,https://m.media-amazon.com/images/I/41oNRvntGwL._SX2000_.jpg,https://m.media-amazon.com/images/I/41SIncB4kQL._SX2000_.jpg,https://m.media-amazon.com/images/I/41I2gNdOe1L._SX2000_.jpg,,,,1.00 Count,,
B09SLYJTLW,https://www.amazon.in/dp/B09SLYJTLW,Gaonwali Clothings Women's Cotton Bell Sleevs Lehariya Printed V Neck A line Kurta with Gota Work Calf Length | A-LINE-GC-229,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/414TouiozZL._SX2000_.jpg,16 February 2022,"Gaonwali Clothings, Gaonwali Clothings",A-LINE-GC-229-S,Women,Gaonwali Clothings,"This is Designd as per the latest trends to keep you in sync with high fashion and with wedding and other occasion, it will keep you comfortable all day long. The lovely design forms a substantial feature of this wear.It looks stunning every time you match it with accessories.This attractive kurti will surely fetch you compliments for your rich sense of style.Stow away your old stuff when you wear this kurti. Light in weight Daily Wear, Working Wear kurtis will be soft against your skin. Its Simple and unique design and beautiful colours, prints and patterns. Stitched in regular fit, this kurti for women will keep you comfortable all day long. Front Design Looks perfect in this Kurtis. It can be perfect for get together, evening Functions,occasion and party wear as well.",https://m.media-amazon.com/images/I/415Cv6yFPxL._SX2000_.jpg,https://m.media-amazon.com/images/I/41oNRvntGwL._SX2000_.jpg,https://m.media-amazon.com/images/I/41SIncB4kQL._SX2000_.jpg,https://m.media-amazon.com/images/I/41I2gNdOe1L._SX2000_.jpg,,,,1.00 Count,,
B09SLZ1YYZ,https://www.amazon.in/dp/B09SLZ1YYZ,Gaonwali Clothings Women's Cotton Bell Sleevs Lehariya Printed V Neck A line Kurta with Gota Work Calf Length | A-LINE-GC-229,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/414TouiozZL._SX2000_.jpg,16 February 2022,"Gaonwali Clothings, Gaonwali Clothings",A-LINE-GC-229-XL,Women,Gaonwali Clothings,"This is Designd as per the latest trends to keep you in sync with high fashion and with wedding and other occasion, it will keep you comfortable all day long. The lovely design forms a substantial feature of this wear.It looks stunning every time you match it with accessories.This attractive kurti will surely fetch you compliments for your rich sense of style.Stow away your old stuff when you wear this kurti. Light in weight Daily Wear, Working Wear kurtis will be soft against your skin. Its Simple and unique design and beautiful colours, prints and patterns. Stitched in regular fit, this kurti for women will keep you comfortable all day long. Front Design Looks perfect in this Kurtis. It can be perfect for get together, evening Functions,occasion and party wear as well.",https://m.media-amazon.com/images/I/415Cv6yFPxL._SX2000_.jpg,https://m.media-amazon.com/images/I/41oNRvntGwL._SX2000_.jpg,https://m.media-amazon.com/images/I/41SIncB4kQL._SX2000_.jpg,https://m.media-amazon.com/images/I/41I2gNdOe1L._SX2000_.jpg,,,,1.00 Count,,
B09SLY5X84,https://www.amazon.in/dp/B09SLY5X84,Gaonwali Clothings Women's Cotton Bell Sleevs Lehariya Printed V Neck A line Kurta with Gota Work Calf Length | A-LINE-GC-229,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/414TouiozZL._SX2000_.jpg,16 February 2022,"Gaonwali Clothings, Gaonwali Clothings",A-LINE-GC-229-XS,Women,Gaonwali Clothings,"This is Designd as per the latest trends to keep you in sync with high fashion and with wedding and other occasion, it will keep you comfortable all day long. The lovely design forms a substantial feature of this wear.It looks stunning every time you match it with accessories.This attractive kurti will surely fetch you compliments for your rich sense of style.Stow away your old stuff when you wear this kurti. Light in weight Daily Wear, Working Wear kurtis will be soft against your skin. Its Simple and unique design and beautiful colours, prints and patterns. Stitched in regular fit, this kurti for women will keep you comfortable all day long. Front Design Looks perfect in this Kurtis. It can be perfect for get together, evening Functions,occasion and party wear as well.",https://m.media-amazon.com/images/I/415Cv6yFPxL._SX2000_.jpg,https://m.media-amazon.com/images/I/41oNRvntGwL._SX2000_.jpg,https://m.media-amazon.com/images/I/41SIncB4kQL._SX2000_.jpg,https://m.media-amazon.com/images/I/41I2gNdOe1L._SX2000_.jpg,,,,1.00 Count,,
B09SLZ44YT,https://www.amazon.in/dp/B09SLZ44YT,Gaonwali Clothings Women's Cotton Bell Sleevs Lehariya Printed V Neck A line Kurta with Gota Work Calf Length | A-LINE-GC-229,https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._SX2000_.jpg,https://m.media-amazon.com/images/I/414TouiozZL._SX2000_.jpg,16 February 2022,"Gaonwali Clothings, Gaonwali Clothings",A-LINE-GC-229-XXL,Women,Gaonwali Clothings,"This is Designd as per the latest trends to keep you in sync with high fashion and with wedding and other occasion, it will keep you comfortable all day long. The lovely design forms a substantial feature of this wear.It looks stunning every time you match it with accessories.This attractive kurti will surely fetch you compliments for your rich sense of style.Stow away your old stuff when you wear this kurti. Light in weight Daily Wear, Working Wear kurtis will be soft against your skin. Its Simple and unique design and beautiful colours, prints and patterns. Stitched in regular fit, this kurti for women will keep you comfortable all day long. Front Design Looks perfect in this Kurtis. It can be perfect for get together, evening Functions,occasion and party wear as well.",https://m.media-amazon.com/images/I/415Cv6yFPxL._SX2000_.jpg,https://m.media-amazon.com/images/I/41oNRvntGwL._SX2000_.jpg,https://m.media-amazon.com/images/I/41SIncB4kQL._SX2000_.jpg,https://m.media-amazon.com/images/I/41I2gNdOe1L._SX2000_.jpg,,,,1.00 Count,,
